Name,Count
胡闹,36
旁观,36
一头,36
躬身,36
几次,36
转过身,36
由得,36
手法,36
一道,36
凶险,36
啸声,36
梁长老,36
一层,35
拿着,35
半个,35
清清楚楚,35
二哥,35
强敌,35
全然,35
体内,35
凄然,35
到底是,35
一家,35
要在,35
店伴,35
请你,35
心惊,35
豪杰,35
军中,35
时候,35
再不,35
口诀,35
洞口,35
几年,35
高举,35
不该,35
听着,35
城下,35
不断,35
倒退,35
不妙,35
无可,35
五子,35
又不是,35
她也,35
言道,35
要说,35
一处,35
护住,35
乞丐,35
一门,35
七人,35
一次,35
救我,35
女人,35
何等,35
下面,35
便宜,35
长袍,35
面具,35
有余,35
心情,35
这一次,35
取胜,34
精神,34
牯牛,34
顺着,34
胜得,34
一交,34
颇为,34
疑心,34
宫中,34
上马,34
相对,34
一切,34
恶斗,34
史叔刚,34
裘千仞,34
只好,34
一拍,34
可没,34
嗡嗡,34
眼色,34
跟随,34
树上,34
喝了,34
喝彩,34
眼下,34
闻到,34
瞧见,34
两下,34
大笑,34
烦恼,34
一团,34
隐居,34
不着,34
你想,34
龙二,34
眼泪,34
落入,34
不小,34
媳妇儿,34
问你,34
躺在,34
先行,34
不死,34
脾气,34
皱眉,34
闪动,33
以来,33
再去,33
点中,33
在你,33
衣襟,33
情景,33
蒙古人,33
可怜,33
本已,33
规矩,33
手相,33
最好,33
呼叫,33
苦头,33
温柔,33
下有,33
喷出,33
生了,33
身份,33
那些,33
挥剑,33
蜈蚣,33
向北,33
笑声,33
要来,33
碰到,33
树枝,33
答道,33
一脚,33
处处,33
半分,33
热气,33
来势,33
不轻,33
素来,33
惊人,33
答允,33
真不,33
毒针,33
看得,33
五毒,32
过眼,32
打中,32
下马,32
打我,32
壁上,32
便道,32
叫她,32
来得,32
人中,32
到得,32
更无,32
反手,32
总算,32
史伯威,32
令人,32
心愿,32
校场,32
练成,32
英雄好汉,32
杀人,32
叫化,32
出神,32
蜜蜂,32
行走,32
再行,32
中年,32
主意,32
胆子,32
算得,32
不明白,32
不下,32
抢到,32
胜了,32
之一,32
胜过,32
望去,32
一推,32
将来,32
岂非,32
方位,32
变色,32
大爷,32
骂我,32
麻雀,32
道理,32
所传,32
见你,32
退后,32
客人,32
日子,32
一手,32
休息,32
大踏步,32
南海,32
极大,32
提防,31
一来,31
喃喃,31
个人,31
又来,31
惊呼,31
拿起,31
空手,31
不顾,31
望见,31
倏地,31
率领,31
声势,31
点点头,31
屋中,31
很好,31
真经,31
怦怦,31
没了,31
脑袋,31
好在,31
杀手,31
抵御,31
四字,31
老伯,31
常人,31
怪异,31
表姊,31
双轮,31
一遍,31
石窟,31
又惊又喜,31
高强,31
折断,31
经书,31
合力,31
能将,31
一言,31
得过,31
隔了,31
于我,31
只不过,31
半天,31
太过,31
算是,31
一刀,31
杀我,31
少了,31
兵器,31
已极,30
接住,30
她对,30
豹子,30
和她,30
行了,30
待他,30
举手,30
出洞,30
台上,30
未见,30
师门,30
生性,30
张开,30
脚步声,30
而且,30
盼望,30
随着,30
随手,30
使得,30
吕文德,30
幼时,30
着地,30
再跟,30
大会,30
忌惮,30
半空中,30
疗伤,30
假装,30
月光,30
暗叫,30
拍手,30
身穿,30
成功,30
真正,30
已久,30
这一来,30
七日,30
说些,30
勉强,30
答话,30
毕竟,30
胡涂,30
长老,30
不幸,30
掷出,30
件事,30
家庄,30
无已,30
耶律晋,30
打开,30
恼怒,30
在那,30
使用,30
女孩,30
又将,30
伤口,30
山后,30
一提,30
四周,30
两句话,30
大理,30
化解,30
兄弟俩,30
难得,30
金铃,30
听你,30
在外,30
有毒,30
外公,30
上下,30
神力,30
不弱,30
大胆,30
千人,29
不让,29
该当,29
伤人,29
过所,29
客店,29
哪一,29
若有,29
张口,29
有点,29
格格,29
感到,29
断肠,29
敕封,29
抱了,29
出力,29
走开,29
好不,29
平平,29
料得,29
到你,29
大殿,29
绝顶,29
多年,29
一件事,29
安危,29
相识,29
激动,29
问起,29
退了,29
西藏,29
高人,29
呆了,29
终身,29
危险,29
救人,29
胡说八道,29
号令,29
将自,29
额头,29
牙齿,29
老儿,29
声息,29
东邪,29
驴子,29
还没,29
名叫,29
可要,29
这就,29
右腿,29
她又,29
一晚,29
也罢,29
见我,29
再也不,29
一样,29
我妈,29
空隙,29
当晚,29
来见,29
