Name,Count
来找,32
三下,32
昨晚,32
笑声,32
天色,32
横扫,32
一听,32
山上,32
明日,32
合力,32
当晚,32
来见,32
影子,32
推出,32
愈是,32
谁也,32
有时,32
好啦,32
上人,32
一沉,32
大踏步,32
出声,32
答允,32
老人,32
半截,32
宋朝,32
接住,31
四大,31
人丛,31
便道,31
正中,31
解药,31
生性,31
夫妇,31
中人,31
人中,31
余人,31
不足,31
故事,31
木筏,31
比武招亲,31
晃动,31
正想,31
风道,31
动静,31
相识,31
放了,31
得知,31
马来,31
洞口,31
此后,31
不等,31
嗤嗤,31
牙齿,31
就会,31
毕竟,31
点穴,31
您老,31
毫不,31
王道,31
送了,31
揭开,31
这事,31
旁观,31
不大,31
恼怒,31
上岸,31
八个,31
这种,31
救我,31
退开,31
面的,31
原本,31
惊觉,31
子模,31
眼中,31
虽不,31
拍拍,31
孙不二,31
泪水,31
飞舞,30
再去,30
与人,30
轻身,30
连叫,30
诸子,30
兵将,30
上卷,30
宫中,30
道路,30
火光,30
枯木,30
是为了,30
却在,30
规矩,30
叫苦,30
论剑,30
入内,30
公主,30
只待,30
再行,30
便要,30
几日,30
教了,30
不下,30
待会,30
瞧见,30
可别,30
身受,30
两下,30
在船,30
世兄,30
手段,30
方位,30
哪里去,30
换了,30
南下,30
所说,30
老头,30
追兵,30
不定,30
数十年,30
说完,30
十名,30
到此,30
过招,30
之言,30
师姊,30
奔跑,30
抱起,30
笑吟吟,30
空明,30
底下,30
喝酒,30
阵法,30
哪有,29
拚命,29
行了,29
纵声,29
怎知,29
不停,29
容易,29
一句话,29
不由自主,29
细细,29
之旁,29
一闪,29
变成,29
余年,29
道家,29
只可惜,29
岂不,29
窜出,29
开来,29
到临,29
十多年,29
大半,29
可就,29
不该,29
有数,29
骇然,29
四字,29
胜过,29
一艘,29
名叫,29
有此,29
成亲,29
哪敢,29
想他,29
一枝,29
仗着,29
倾听,29
破了,29
不想,29
十八,29
直到,29
如何是好,29
面上,29
乞丐,29
所传,29
子来,29
一看,29
眼泪,29
千万,29
跪下,29
再打,29
传给,29
半天,29
躺在,29
不出来,29
轻声,29
愈来愈,29
